#  theta    R       E_CP
   150     4.5     -70.93
   150     4.6     -85.28
   150     4.7     -90.55
   150     4.8     -90.13
   150     4.9     -86.29
   150     5.0     -80.54
   150     5.1     -73.89
   150     5.2     -66.99
   150     5.3     -60.24
   150     5.4     -53.87
   150     5.5     -48.01
   150     5.6     -42.70
   150     5.7     -37.95
   150     5.8     -33.72
   150     5.9     -29.98
   150     6.0     -26.68
   150     6.1     -23.78
   150     6.2     -21.22
   150     6.3     -18.98
   150     6.4     -17.00
   150     6.5     -15.25
   150     6.6     -13.71
   150     6.7     -12.34
   150     6.8     -11.12
   150     6.9     -10.05
   150     7.0      -9.10
   150     7.1      -8.25
   150     7.2      -7.50
   150     7.3      -6.82
   150     7.4      -6.22
   150     7.5      -5.68
   150     7.6      -5.20
   150     7.7      -4.75
   150     7.8      -4.36
   150     7.9      -4.01
   150     8.0      -3.68
   150     8.1      -3.39
   150     8.2      -3.13
   150     8.3      -2.89
   150     8.4      -2.67
   150     8.5      -2.47
   150     8.6      -2.29
   150     8.7      -2.12
   150     8.8      -1.97
   150     8.9      -1.83
   150     9.0      -1.70
   150     9.1      -1.59
   150     9.2      -1.48
   150     9.3      -1.38
   150     9.4      -1.29
   150     9.5      -1.21
   150     9.6      -1.13
   150     9.7      -1.06
   150     9.8      -0.99
   150     9.9      -0.93
   150    10.0      -0.87

   165     2.7   91316.01
   165     2.8   70144.20
   165     2.9   52792.11
   165     3.0   39081.41
   165     3.1   28545.81
   165     3.2   20612.79
   165     3.3   14729.77
   165     3.4   10418.82
   165     3.5    7291.32
   165     3.6    5042.63
   165     3.7    3439.72
   165     3.8    2307.04
   165     3.9    1513.96
   165     4.0     964.21
   165     4.1     587.61
   165     4.2     333.21
   165     4.3     164.29
   165     4.4      54.71
   165     4.5     -14.10
   165     4.6     -55.21
   165     4.7     -77.75
   165     4.8     -88.16
   165     4.9     -90.80
   165     5.0     -88.66
   165     5.1     -83.75
   165     5.2     -77.41
   165     5.3     -70.50
   165     5.4     -63.56
   165     5.5     -56.91
   165     5.6     -50.73
   165     5.7     -45.09
   165     5.8     -40.03
   165     5.9     -35.52
   165     6.0     -31.54
   165     6.1     -28.02
   165     6.2     -24.94
   165     6.3     -22.23
   165     6.4     -19.85
   165     6.5     -17.76
   165     6.6     -15.91
   165     6.7     -14.29
   165     6.8     -12.86
   165     6.9     -11.59
   165     7.0     -10.46
   165     7.1      -9.47
   165     7.2      -8.58
   165     7.3      -7.79
   165     7.4      -7.08
   165     7.5      -6.45
   165     7.6      -5.89
   165     7.7      -5.39
   165     7.8      -4.93
   165     7.9      -4.52
   165     8.0      -4.15
   165     8.1      -3.81
   165     8.2      -3.51
   165     8.3      -3.23
   165     8.4      -2.98
   165     8.5      -2.76
   165     8.6      -2.55
   165     8.7      -2.36
   165     8.8      -2.19
   165     8.9      -2.03
   165     9.0      -1.89
   165     9.1      -1.76
   165     9.2      -1.64
   165     9.3      -1.53
   165     9.4      -1.42
   165     9.5      -1.33
   165     9.6      -1.24
   165     9.7      -1.16
   165     9.8      -1.09
   165     9.9      -1.02
   165    10.0      -0.96

   180     2.7  117324.57 
   180     2.8   90359.42
   180     2.9   67938.12 
   180     3.0   50213.98 
   180     3.1   36619.58 
   180     3.2   26409.61 
   180     3.3   18857.99 
   180     3.4   13338.50 
   180     3.5    9343.27 
   180     3.6    6475.96 
   180     3.7    4434.61 
   180     3.8    2992.91 
   180     3.9    1983.21 
   180     4.0    1282.52 
   180     4.1     801.27 
   180     4.2     474.76 
   180     4.3     256.57 
   180     4.4     113.46 
   180     4.5      22.07 
   180     4.6     -34.08 
   180     4.7     -66.52 
   180     4.8     -83.29 
   180     4.9     -89.92 
   180     5.0     -90.14 
   180     5.1     -86.55 
   180     5.2     -80.86 
   180     5.3     -74.16 
   180     5.4     -67.17 
   180     5.5     -60.32 
   180     5.6     -53.87 
   180     5.7     -47.93 
   180     5.8     -42.55 
   180     5.9     -37.75 
   180     6.0     -33.49 
   180     6.1     -29.73 
   180     6.2     -26.43 
   180     6.3     -23.53 
   180     6.4     -20.99 
   180     6.5     -18.76 
   180     6.6     -16.79 
   180     6.7     -15.06 
   180     6.8     -13.54 
   180     6.9     -12.19 
   180     7.0     -11.00 
   180     7.1      -9.94 
   180     7.2      -9.00 
   180     7.3      -8.17 
   180     7.4      -7.42 
   180     7.5      -6.76 
   180     7.6      -6.16 
   180     7.7      -5.63 
   180     7.8      -5.15 
   180     7.9      -4.72 
   180     8.0      -4.33 
   180     8.1      -3.97 
   180     8.2      -3.66 
   180     8.3      -3.37 
   180     8.4      -3.11 
   180     8.5      -2.87 
   180     8.6      -2.65 
   180     8.7      -2.45 
   180     8.8      -2.27 
   180     8.9      -2.11 
   180     9.0      -1.96 
   180     9.1      -1.82 
   180     9.2      -1.70 
   180     9.3      -1.58 
   180     9.4      -1.47 
   180     9.5      -1.38 
   180     9.6      -1.29 
   180     9.7      -1.20 
   180     9.8      -1.13 
   180     9.9      -1.06 
   180    10.0      -0.99 
